experiment	path	commit	status	metric	value	hypothesis	utc
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.2.iteration_ms	0.22	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.2.check_ms	0.281	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.2.sync_ms	0.027	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.6.iteration_ms	33.508	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.6.check_ms	34.513	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.6.sync_ms	59.988	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.8.iteration_ms	152.884	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.8.check_ms	141.242	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B001	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	preflop.8.sync_ms	150.459	Frozen CUDA preflop baseline, current validated implementation	2026-09-07T00:49:11+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7h2d.init_ms	1264.559	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7h2d.iteration_ms	59.488	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7h2d.check_ms	41.296	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
